index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,intervention_type,intervention,target_enrollment,web_address,results_type,results_publication_date,results_link,last_refreshed_on,first_seen
10,ChiCTR2000029949,ChiCTR,2020-02-16,2020-02-16,False,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,40,http://www.chictr.org.cn/showproj.aspx?proj=49181,No Results,No Results,No Results,2020-02-17,2020-08-03
11,ChiCTR2000029883,ChiCTR,2020-02-16,2020-02-17,False,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Diagnostic test,China,A comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of SARS-CoV-2 by real-time PCR,Diagnosis,No Intervention,200,http://www.chictr.org.cn/showproj.aspx?proj=49549,No Results,No Results,No Results,2020-02-17,2020-08-03
12,ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,True,Huangshi Hospital of Traditional Chinese Medicine,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=49486,No Results,No Results,No Results,2020-02-17,2020-08-03
13,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49599,No Results,No Results,No Results,2020-02-17,2020-03-18
14,ChiCTR2000029896,ChiCTR,2020-02-16,2020-01-31,True,Affiliated Hospital of Changchun University of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49432,No Results,No Results,No Results,2020-02-17,2020-03-18
15,ChiCTR2000029782,ChiCTR,2020-02-13,2020-01-30,True,Zhejiang Provincial People's Hospital,Not Recruiting,Not Applicable,Observational,China,Clinical study for the changes in mental state of medical staff in the department of radiotherapy in a comprehensive tertiary hospital in Zhejiang Province during the epidemic of novel coronavirus infection (COVID-19),Clinical Presentation,No Intervention,27,http://www.chictr.org.cn/showproj.aspx?proj=49445,No Results,No Results,No Results,2020-02-17,2020-08-03
16,ChiCTR2000029764,ChiCTR,2020-02-13,2020-02-16,False,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Imaging Features and Mechanisms of Novel Coronavirus Pneumonia (COVID-19): a Multicenter Study,Clinical Presentation,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=49388,No Results,No Results,No Results,2020-02-17,2020-08-03
17,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,False,"Beijing You'an Hospital, Capital Medical University",Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",Drug,Carrimycin,520,http://www.chictr.org.cn/showproj.aspx?proj=49514,No Results,No Results,No Results,2020-02-17,2020-08-03
18,ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,True,The First Affiliated Hospital of Zhengzhou University,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),ATMP,Intestinal microbiome,60,http://www.chictr.org.cn/showproj.aspx?proj=49530,No Results,No Results,No Results,2020-02-17,2020-08-03
19,ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,False,"Guangzhou reborn health management consultation co., LTD",Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49355,No Results,No Results,No Results,2020-02-17,2020-08-03
20,ChiCTR2000029810,ChiCTR,2020-02-14,2020-02-16,False,Shenzhen Second People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Clinical study of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (COVID-19) based on CRISPR-cas protein,Diagnosis,No Intervention,10000,http://www.chictr.org.cn/showproj.aspx?proj=49407,No Results,No Results,No Results,2020-02-17,2020-08-03
21,ChiCTR2000029695,ChiCTR,2020-02-10,2020-03-01,False,Shenzhen Third People's Hospital,Not Recruiting,Not Applicable,Diagnostic test,China,Early Detection of Novel Coronavirus Pneumonia (COVID-19) Based on a Novel High-Throughput Mass Spectrometry Analysis With Exhaled Breath,Diagnosis,No Intervention,300,http://www.chictr.org.cn/showproj.aspx?proj=49219,No Results,No Results,No Results,2020-02-17,2020-08-03
22,ChiCTR2000029656,ChiCTR,2020-02-09,2020-02-14,False,Wuhan Pulmonary Hosptial,Not Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)",Drug,Corticosteroids,100,http://www.chictr.org.cn/showproj.aspx?proj=49086,No Results,No Results,No Results,2020-02-17,2020-08-03
23,ChiCTR2000029822,ChiCTR,2020-02-14,2020-02-07,True,Nanjing Second Hospital,Recruiting,Not Applicable,Interventional,No Country Given,A randomized controlled trial for honeysuckle decoction in the treatment of patients with novel coronavirus (COVID-19) infection,Traditional Medicine (Drug),Traditional Medicine,110,http://www.chictr.org.cn/showproj.aspx?proj=49502,No Results,No Results,No Results,2020-02-17,2020-08-03
24,ChiCTR2000029815,ChiCTR,2020-02-14,2020-02-01,True,Guangdong Provincial Hospital of Chinese Medicine,Recruiting,Not Applicable,Observational,China,Psychological survey of frontline medical staff in various regions of China during the epidemic of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,800,http://www.chictr.org.cn/showproj.aspx?proj=49346,No Results,No Results,No Results,2020-02-17,2020-03-18
25,ChiCTR2000029779,ChiCTR,2020-02-13,2020-02-14,False,Wuxi People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (COVID-19) based on the medical imaging,Diagnosis,No Intervention,0,http://www.chictr.org.cn/showproj.aspx?proj=49378,No Results,No Results,No Results,2020-02-17,2020-08-03
26,ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,False,Shanghai University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,600,http://www.chictr.org.cn/showproj.aspx?proj=49422,No Results,No Results,No Results,2020-02-17,2020-08-03
27,NCT04251871,ClinicalTrials.gov,2020-01-28,2020-01-22,True,Beijing 302 Hospital,Recruiting,Not Applicable,Interventional,China,Treatment and Prevention of Traditional Chinese Medicines (TCMs) on 2019-nCoV Infection,Traditional Medicine (Unspecified),Traditional Medicine,150,https://clinicaltrials.gov/show/NCT04251871,No Results,No Results,No Results,2020-02-17,2020-08-03
28,NCT04260594,ClinicalTrials.gov,2020-02-06,2020-02-07,False,Jieming QU,Not Recruiting,Phase 4,Interventional,No Country Given,Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus,Drug,Umifenovir,380,https://clinicaltrials.gov/show/NCT04260594,No Results,No Results,No Results,2020-02-17,2020-08-03
29,NCT04261426,ClinicalTrials.gov,2020-02-06,2020-02-10,False,Peking Union Medical College Hospital,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia,Drug,Immunoglobulin,80,https://clinicaltrials.gov/show/NCT04261426,No Results,No Results,No Results,2020-02-17,2020-08-03
30,NCT04261907,ClinicalTrials.gov,2020-02-06,2020-02-07,False,The First Affiliated Hospital of Zhejiang University,Not Recruiting,Not Applicable,Interventional,No Country Given,Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Novel Coronavirus Infection,Drug,Lopinavir/ritonavir,160,https://clinicaltrials.gov/show/NCT04261907,No Results,No Results,No Results,2020-02-17,2020-08-03
31,ChiCTR2000029813,ChiCTR,2020-02-14,2020-02-14,False,Shanghai Public Health Clinical Center,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,72,http://www.chictr.org.cn/showproj.aspx?proj=49425,No Results,No Results,No Results,2020-02-17,2020-08-03
32,ChiCTR2000029806,ChiCTR,2020-02-14,2020-02-12,True,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Interventional,China,Immunomodulatory Therapy for Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Combination: PD1 + thymosin,120,http://www.chictr.org.cn/showproj.aspx?proj=49161,No Results,No Results,No Results,2020-02-17,2020-08-03
33,ChiCTR2000029626,ChiCTR,2020-02-07,2020-02-17,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Not Recruiting,Not Applicable,Basic Science,China,Immune Repertoire (TCR & BCR) Evaluation and Immunotherapy Research in Peripheral Blood of Novel Coronavirus Pneumonia (COVID-19),Clinical Presentation,No Intervention,20,http://www.chictr.org.cn/showproj.aspx?proj=49170,No Results,No Results,No Results,2020-02-17,2020-08-03
34,ChiCTR2000029624,ChiCTR,2020-02-07,2020-02-08,False,Shanghai Public Health Clinical Center,Not Recruiting,Not Applicable,Observational,China,A real world study for traditional Chinese Medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,500,http://www.chictr.org.cn/showproj.aspx?proj=49132,No Results,No Results,No Results,2020-02-17,2020-08-03
35,ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,True,Huangshi Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,160,http://www.chictr.org.cn/showproj.aspx?proj=49380,No Results,No Results,No Results,2020-02-17,2020-08-03
36,ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,True,The First Affiliated of Wenzhou Medical University,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Polyinosinic-polycytidylic acid,40,http://www.chictr.org.cn/showproj.aspx?proj=49342,No Results,No Results,No Results,2020-02-17,2020-08-03
37,ChiCTR2000029790,ChiCTR,2020-02-13,2020-02-17,False,Shanghai Pulmonary Hospital,Recruiting,Not Applicable,Interventional,China,Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,120,http://www.chictr.org.cn/showproj.aspx?proj=49453,No Results,No Results,No Results,2020-02-17,2020-08-03
38,ChiCTR2000029788,ChiCTR,2020-02-13,2020-03-01,False,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial,Traditional Medicine (Unspecified),Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49452,No Results,No Results,No Results,2020-02-17,2020-08-03
39,ChiCTR2000029601,ChiCTR,2020-02-06,2020-02-01,True,Hubei Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,Traditional Medicine (Other),Traditional Medicine,400,http://www.chictr.org.cn/showproj.aspx?proj=48988,No Results,No Results,No Results,2020-02-17,2020-08-03
40,ChiCTR2000029569,ChiCTR,2020-02-04,2020-02-05,False,Xiangyang First People's Hospital,Not Recruiting,Not Applicable,Interventional,China,Safety and efficacy of umbilical cord blood mononuclear cells conditioned medium in the treatment of severe and critically novel coronavirus pneumonia (COVID-19): a randomized controlled trial,ATMP,"Cells, mononuclear",30,http://www.chictr.org.cn/showproj.aspx?proj=49062,No Results,No Results,No Results,2020-02-17,2020-08-03
41,ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49596,No Results,No Results,No Results,2020-02-17,2020-08-03
42,ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,True,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",Drug,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49612,No Results,No Results,No Results,2020-02-17,2020-08-03
43,ChiCTR2000029742,ChiCTR,2020-02-11,2020-02-10,True,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Phase 4,Interventional,China,"A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,90,http://www.chictr.org.cn/showproj.aspx?proj=49297,No Results,No Results,No Results,2020-02-17,2020-08-03
44,ChiCTR2000029741,ChiCTR,2020-02-11,2020-02-12,False,The Fifth Affiliated Hospital of Sun Yat-Sen University,Recruiting,Phase 4,Interventional,China,"Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study",Drug,Combination: Lopinavir/ritonavir + chloroquine,112,http://www.chictr.org.cn/showproj.aspx?proj=49263,No Results,No Results,No Results,2020-02-17,2020-08-03
45,ChiCTR2000029765,ChiCTR,2020-02-13,2020-02-10,True,The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital),Recruiting,Phase 4,Interventional,China,"A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)",Drug,Tocilizumab,188,http://www.chictr.org.cn/showproj.aspx?proj=49409,No Results,No Results,No Results,2020-02-17,2020-08-03
46,ChiCTR2000029763,ChiCTR,2020-02-12,2020-02-13,False,China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Interventional,China,"The efficacy of traditional chinese medicine on Novel Coronavirus Pneumonia (COVID-19) patients treated in square cabin hospital: a prospective, randomized controlled trial",Traditional Medicine (Unspecified),Traditional Medicine,408,http://www.chictr.org.cn/showproj.aspx?proj=49408,No Results,No Results,No Results,2020-02-17,2020-08-03
47,ChiCTR2000029907,ChiCTR,2020-02-16,2020-02-16,False,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Study for construction and assessment of early warning score of the clinical risk of novel coronavirus (COVID-19) infected patients,Clinical Presentation,No Intervention,1000,http://www.chictr.org.cn/showproj.aspx?proj=49587,No Results,No Results,No Results,2020-02-17,2020-08-03
48,ChiCTR2000029905,ChiCTR,2020-02-16,2020-02-10,True,Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Observational,China,A medical records based study of novel coronavirus pneumonia (COVID-19) and influenza virus co-infection,Clinical Presentation,No Intervention,271,http://www.chictr.org.cn/showproj.aspx?proj=49595,No Results,No Results,No Results,2020-02-17,2020-08-03
49,ChiCTR2000029542,ChiCTR,2020-02-03,2020-02-03,False,Sun Yat sen Memorial Hospital of Sun Yat sen University,Recruiting,Phase 4,Interventional,China,Study for the efficacy of chloroquine in patients with novel coronavirus pneumonia (COVID-19),Drug,Chloroquine,20,http://www.chictr.org.cn/showproj.aspx?proj=48968,No Results,No Results,No Results,2020-02-17,2020-08-03
50,ChiCTR2000029539,ChiCTR,2020-02-03,2020-02-04,False,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)",Drug,Lopinavir/ritonavir,328,http://www.chictr.org.cn/showproj.aspx?proj=48991,No Results,No Results,No Results,2020-02-17,2020-08-03
51,ChiCTR2000029637,ChiCTR,2020-02-08,2020-02-07,True,Guangdong Provincial Hospital of Chinese Medicine,Not Recruiting,Not Applicable,Observational,China,An observational study for Xin-Guan-1 formula  in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49127,No Results,No Results,No Results,2020-02-17,2020-08-03
52,ChiCTR2000029636,ChiCTR,2020-02-08,2020-02-09,False,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial,ATMP,Vaccine,40,http://www.chictr.org.cn/showproj.aspx?proj=49215,No Results,No Results,No Results,2020-02-17,2020-08-03
53,ChiCTR2000029758,ChiCTR,2020-02-12,2020-02-03,True,West China Hospital of Sichuan University,Recruiting,Not Applicable,Observational,China,Cohort Study of Novel Coronavirus Pneumonia (COVID-19) Critical Ill Patients,Clinical Presentation,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=49295,Pre-Print Article,2020-03-06,https://doi.org/10.1101/2020.03.22.20041277,2020-02-17,2020-08-03
54,ChiCTR2000029756,ChiCTR,2020-02-12,2020-02-15,False,Renmin Hospital of Wuhan University,Recruiting,Not Applicable,Interventional,China,Clinical study of nebulized Xiyanping injection in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,238,http://www.chictr.org.cn/showproj.aspx?proj=49222,No Results,No Results,No Results,2020-02-17,2020-08-03
55,ChiCTR2000029870,ChiCTR,2020-02-15,2020-02-15,False,Jiangsu Institute of Parasitic Diseases,Recruiting,Not Applicable,Diagnostic test,China,Evaluation of Rapid Diagnostic Kit (IgM/IgG) for Novel Coronavirus Pneumonia (COVID-19),Diagnosis,No Intervention,500,http://www.chictr.org.cn/showproj.aspx?proj=49563,No Results,No Results,No Results,2020-02-17,2020-08-03
56,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Medical College of Zhejiang University,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Unspecified),Traditional Medicine,180,http://www.chictr.org.cn/showproj.aspx?proj=49543,No Results,No Results,No Results,2020-02-17,2020-08-03
57,ChiCTR2000029747,ChiCTR,2020-02-11,2020-02-11,False,The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Effect evaluation and prognosis of Chinese medicine based on Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,200,http://www.chictr.org.cn/showproj.aspx?proj=49287,No Results,No Results,No Results,2020-02-17,2020-08-03
58,ChiCTR2000029739,ChiCTR,2020-02-11,2020-02-12,False,The First Affiliated Hospital of Guangzhou Medical University,Recruiting,Not Applicable,Interventional,China,"A Multicenter, Randomized, Parallel Controlled Clinical Study of Hydrogen-Oxygen Nebulizer to Improve the Symptoms of Patients With Novel Coronavirus Pneumonia (COVID-19)",Drug,Hydrogen + Oxygen,440,http://www.chictr.org.cn/showproj.aspx?proj=49283,No Results,No Results,No Results,2020-02-17,2020-08-03
59,ChiCTR2000029589,ChiCTR,2020-02-05,2020-02-06,False,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine,Recruiting,Not Applicable,Interventional,China,"An open, prospective, multicenter clinical study for the efficacy and safety of Reduning injection in the treatment of ovel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49104,No Results,No Results,No Results,2020-02-17,2020-08-03
60,ChiCTR2000029578,ChiCTR,2020-02-05,2020-02-06,False,Zhejiang Chinese Medical University,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, sing-arm trial",Traditional Medicine (Unspecified),Traditional Medicine,1000,http://www.chictr.org.cn/showproj.aspx?proj=49080,No Results,No Results,No Results,2020-02-17,2020-08-03
61,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,False,People's Hospital of Guangshan County,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,20,http://www.chictr.org.cn/showproj.aspx?proj=49532,No Results,No Results,No Results,2020-02-17,2020-08-03
62,ChiCTR2000029839,ChiCTR,2020-02-15,2020-02-10,True,Ningbo First Hospital,Recruiting,Phase 4,Observational,China,"An observational study on the clinical characteristics, treatment and outcome of novel coronavirus pneumonia (COVID-19)",Clinical Presentation,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=49439,No Results,No Results,No Results,2020-02-17,2020-08-03
63,ChiCTR2000029462,ChiCTR,2020-02-02,2020-02-01,True,The First Affiliated Hospital of He'nan University of Chinese Medicine,Not Recruiting,Not Applicable,Observational,China,Study for clinical characteristics and distribution of TCM syndrome of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=48922,No Results,No Results,No Results,2020-02-17,2020-08-03
64,ChiCTR2000029438,ChiCTR,2020-02-01,2020-02-04,False,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine,Not Recruiting,Phase 4,Interventional,China,A randomized controlled trial of integrated TCM and Western Medicine in the treatment of severe novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=48911,No Results,No Results,No Results,2020-02-17,2020-08-03
65,ChiCTR2000029732,ChiCTR,2020-02-10,2020-02-10,False,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Impact of vitamin D deficiency on prognosis of patients with novel coronavirus pneumonia (COVID-19),Prognosis,No Intervention,156,http://www.chictr.org.cn/showproj.aspx?proj=49302,No Results,No Results,No Results,2020-02-17,2020-08-03
66,ChiCTR2000029639,ChiCTR,2020-02-08,2020-02-10,False,The Fifth Affiliated Hospital of Sun Yat-Sen University,Recruiting,Not Applicable,Interventional,China,"Study for Mental health and psychological status of doctors, nurses and patients in novel coronavirus pneumonia (COVID-19) designated hospital and effect of interventions",Other (psych),No Intervention,192,http://www.chictr.org.cn/showproj.aspx?proj=49187,No Results,No Results,No Results,2020-02-17,2020-03-18
